policy,expert,expert_call_rate,true_grade,n_defer,green_wrong_expert_correct,green_correct_expert_wrong,both_correct,both_wrong,green_error_rate,expert_error_rate
low_confidence,retfound_mae,0.1,1,17,1,3,3,10,0.6470588235294118,0.7647058823529411
low_confidence,retfound_mae,0.1,2,58,22,7,23,6,0.4827586206896552,0.22413793103448276
low_confidence,retfound_mae,0.1,3,7,0,2,0,5,0.7142857142857143,1.0
low_confidence,retfound_mae,0.1,4,20,7,3,3,7,0.7,0.5
low_confidence,retfound_mae,0.2,0,12,6,0,4,2,0.6666666666666666,0.16666666666666666
low_confidence,retfound_mae,0.2,1,32,1,6,6,19,0.625,0.78125
low_confidence,retfound_mae,0.2,2,123,47,15,48,13,0.4878048780487805,0.22764227642276422
low_confidence,retfound_mae,0.2,3,16,0,6,0,10,0.625,1.0
low_confidence,retfound_mae,0.2,4,37,10,5,9,13,0.6216216216216216,0.4864864864864865
low_confidence,retfound_mae,0.3,0,27,8,0,16,3,0.4074074074074074,0.1111111111111111
low_confidence,retfound_mae,0.3,1,45,1,10,9,25,0.5777777777777777,0.7777777777777778
low_confidence,retfound_mae,0.3,2,181,60,20,81,20,0.4419889502762431,0.22099447513812154
low_confidence,retfound_mae,0.3,3,26,0,12,1,13,0.5,0.9615384615384616
low_confidence,retfound_mae,0.3,4,51,15,6,13,17,0.6274509803921569,0.45098039215686275
low_confidence,retfound_mae,0.4,0,52,10,2,32,8,0.34615384615384615,0.19230769230769232
low_confidence,retfound_mae,0.4,1,58,2,13,14,29,0.5344827586206896,0.7241379310344828
low_confidence,retfound_mae,0.4,2,231,72,23,112,24,0.4155844155844156,0.20346320346320346
low_confidence,retfound_mae,0.4,3,40,0,20,1,19,0.475,0.975
low_confidence,retfound_mae,0.4,4,59,19,7,14,19,0.6440677966101694,0.4406779661016949
low_confidence,retfound_mae,0.5,0,87,10,3,65,9,0.21839080459770116,0.13793103448275862
low_confidence,retfound_mae,0.5,1,73,2,14,26,31,0.4520547945205479,0.6164383561643836
low_confidence,retfound_mae,0.5,2,268,79,25,138,26,0.3917910447761194,0.19029850746268656
low_confidence,retfound_mae,0.5,3,49,0,25,2,22,0.4489795918367347,0.9591836734693877
low_confidence,retfound_mae,0.5,4,73,24,8,19,22,0.6301369863013698,0.410958904109589
low_confidence,both_average,0.1,0,8,5,0,3,0,0.625,0.0
low_confidence,both_average,0.1,1,17,3,2,4,8,0.6470588235294118,0.5882352941176471
low_confidence,both_average,0.1,2,58,22,4,26,6,0.4827586206896552,0.1724137931034483
low_confidence,both_average,0.1,3,7,1,1,1,4,0.7142857142857143,0.7142857142857143
low_confidence,both_average,0.1,4,20,1,3,3,13,0.7,0.8
low_confidence,both_average,0.2,0,12,7,0,4,1,0.6666666666666666,0.08333333333333333
low_confidence,both_average,0.2,1,32,4,5,7,16,0.625,0.65625
low_confidence,both_average,0.2,2,123,48,9,54,12,0.4878048780487805,0.17073170731707318
low_confidence,both_average,0.2,3,16,2,3,3,8,0.625,0.6875
low_confidence,both_average,0.2,4,37,2,5,9,21,0.6216216216216216,0.7027027027027027
low_confidence,both_average,0.3,0,27,9,0,16,2,0.4074074074074074,0.07407407407407407
low_confidence,both_average,0.3,1,45,4,7,12,22,0.5777777777777777,0.6444444444444445
low_confidence,both_average,0.3,2,181,63,12,89,17,0.4419889502762431,0.16022099447513813
low_confidence,both_average,0.3,3,26,3,6,7,10,0.5,0.6153846153846154
low_confidence,both_average,0.3,4,51,4,7,12,28,0.6274509803921569,0.6862745098039216
low_confidence,both_average,0.4,0,52,12,1,33,6,0.34615384615384615,0.1346153846153846
low_confidence,both_average,0.4,1,58,7,8,19,24,0.5344827586206896,0.5517241379310345
low_confidence,both_average,0.4,2,231,74,13,122,22,0.4155844155844156,0.15151515151515152
low_confidence,both_average,0.4,3,40,4,11,10,15,0.475,0.65
low_confidence,both_average,0.4,4,59,7,8,13,31,0.6440677966101694,0.6610169491525424
low_confidence,both_average,0.5,0,87,13,2,66,6,0.21839080459770116,0.09195402298850575
low_confidence,both_average,0.5,1,73,7,9,31,26,0.4520547945205479,0.4794520547945205
low_confidence,both_average,0.5,2,268,80,13,150,25,0.3917910447761194,0.1417910447761194
low_confidence,both_average,0.5,3,49,5,12,15,17,0.4489795918367347,0.5918367346938775
low_confidence,both_average,0.5,4,73,9,9,18,37,0.6301369863013698,0.6301369863013698
low_confidence,dense_average,0.1,0,8,4,0,3,1,0.625,0.125
low_confidence,dense_average,0.1,1,17,3,2,4,8,0.6470588235294118,0.5882352941176471
low_confidence,dense_average,0.1,2,58,22,2,28,6,0.4827586206896552,0.13793103448275862
low_confidence,dense_average,0.1,3,7,1,1,1,4,0.7142857142857143,0.7142857142857143
low_confidence,dense_average,0.1,4,20,1,3,3,13,0.7,0.8
low_confidence,dense_average,0.2,0,12,6,0,4,2,0.6666666666666666,0.16666666666666666
low_confidence,dense_average,0.2,1,32,4,3,9,16,0.625,0.59375
low_confidence,dense_average,0.2,2,123,44,5,58,16,0.4878048780487805,0.17073170731707318
low_confidence,dense_average,0.2,3,16,2,3,3,8,0.625,0.6875
low_confidence,dense_average,0.2,4,37,2,5,9,21,0.6216216216216216,0.7027027027027027
low_confidence,dense_average,0.3,0,27,8,0,16,3,0.4074074074074074,0.1111111111111111
low_confidence,dense_average,0.3,1,45,4,3,16,22,0.5777777777777777,0.5555555555555556
low_confidence,dense_average,0.3,2,181,54,7,94,26,0.4419889502762431,0.18232044198895028
low_confidence,dense_average,0.3,3,26,2,5,8,11,0.5,0.6153846153846154
low_confidence,dense_average,0.3,4,51,4,6,13,28,0.6274509803921569,0.6666666666666666
low_confidence,dense_average,0.4,0,52,11,1,33,7,0.34615384615384615,0.15384615384615385
low_confidence,dense_average,0.4,1,58,4,4,23,27,0.5344827586206896,0.5344827586206896
low_confidence,dense_average,0.4,2,231,59,7,128,37,0.4155844155844156,0.19047619047619047
low_confidence,dense_average,0.4,3,40,2,8,13,17,0.475,0.625
low_confidence,dense_average,0.4,4,59,4,6,15,34,0.6440677966101694,0.6779661016949152
low_confidence,dense_average,0.5,0,87,11,1,67,8,0.21839080459770116,0.10344827586206896
low_confidence,dense_average,0.5,1,73,4,4,36,29,0.4520547945205479,0.4520547945205479
low_confidence,dense_average,0.5,2,268,61,7,156,44,0.3917910447761194,0.19029850746268656
low_confidence,dense_average,0.5,3,49,2,8,19,20,0.4489795918367347,0.5714285714285714
low_confidence,dense_average,0.5,4,73,5,6,21,41,0.6301369863013698,0.6438356164383562
low_margin,convnext,0.1,0,5,5,0,0,0,1.0,0.0
low_margin,convnext,0.1,1,15,6,2,3,4,0.6666666666666666,0.4
low_margin,convnext,0.1,2,62,20,10,23,9,0.46774193548387094,0.3064516129032258
low_margin,convnext,0.1,3,10,2,2,3,3,0.5,0.5
low_margin,convnext,0.1,4,18,1,6,3,8,0.5,0.7777777777777778
low_margin,convnext,0.2,0,14,8,0,6,0,0.5714285714285714,0.0
low_margin,convnext,0.2,1,33,8,2,10,13,0.6363636363636364,0.45454545454545453
low_margin,convnext,0.2,2,117,43,15,44,15,0.49572649572649574,0.2564102564102564
low_margin,convnext,0.2,3,18,3,2,5,8,0.6111111111111112,0.5555555555555556
low_margin,convnext,0.2,4,38,1,8,5,24,0.6578947368421053,0.8421052631578947
low_margin,convnext,0.3,0,30,10,1,18,1,0.36666666666666664,0.06666666666666667
low_margin,convnext,0.3,1,47,9,5,15,18,0.574468085106383,0.48936170212765956
low_margin,convnext,0.3,2,175,56,19,78,22,0.44571428571428573,0.2342857142857143
low_margin,convnext,0.3,3,28,3,5,9,11,0.5,0.5714285714285714
low_margin,convnext,0.3,4,50,1,11,8,30,0.62,0.82
low_margin,convnext,0.4,0,53,13,2,34,4,0.32075471698113206,0.11320754716981132
low_margin,convnext,0.4,1,58,10,6,22,20,0.5172413793103449,0.4482758620689655
low_margin,convnext,0.4,2,229,66,24,110,29,0.4148471615720524,0.2314410480349345
low_margin,convnext,0.4,3,41,6,8,13,14,0.4878048780487805,0.5365853658536586
low_margin,convnext,0.4,4,59,2,13,8,36,0.6440677966101694,0.8305084745762712
low_margin,convnext,0.5,0,95,14,3,71,7,0.22105263157894736,0.10526315789473684
low_margin,convnext,0.5,1,71,11,6,33,21,0.4507042253521127,0.38028169014084506
low_margin,convnext,0.5,2,264,70,25,135,34,0.3939393939393939,0.22348484848484848
low_margin,convnext,0.5,3,47,6,10,15,16,0.46808510638297873,0.5531914893617021
low_margin,convnext,0.5,4,73,4,15,12,42,0.6301369863013698,0.7808219178082192
low_margin,retfound_mae,0.1,0,5,4,0,0,1,1.0,0.2
low_margin,retfound_mae,0.1,1,15,0,3,2,10,0.6666666666666666,0.8666666666666667
low_margin,retfound_mae,0.1,2,62,21,8,25,8,0.46774193548387094,0.25806451612903225
low_margin,retfound_mae,0.1,3,10,0,5,0,5,0.5,1.0
low_margin,retfound_mae,0.1,4,18,4,4,5,5,0.5,0.5
low_margin,retfound_mae,0.2,0,14,6,0,6,2,0.5714285714285714,0.14285714285714285
low_margin,retfound_mae,0.2,1,33,1,5,7,20,0.6363636363636364,0.7575757575757576
low_margin,retfound_mae,0.2,2,117,46,14,45,12,0.49572649572649574,0.2222222222222222
low_margin,retfound_mae,0.2,3,18,0,7,0,11,0.6111111111111112,1.0
low_margin,retfound_mae,0.2,4,38,10,5,8,15,0.6578947368421053,0.5263157894736842
low_margin,retfound_mae,0.3,0,30,8,0,19,3,0.36666666666666664,0.1
low_margin,retfound_mae,0.3,1,47,1,10,10,26,0.574468085106383,0.7659574468085106
low_margin,retfound_mae,0.3,2,175,60,19,78,18,0.44571428571428573,0.21142857142857144
low_margin,retfound_mae,0.3,3,28,0,13,1,14,0.5,0.9642857142857143
low_margin,retfound_mae,0.3,4,50,15,6,13,16,0.62,0.44
low_margin,retfound_mae,0.4,0,53,10,2,34,7,0.32075471698113206,0.16981132075471697
low_margin,retfound_mae,0.4,1,58,2,13,15,28,0.5172413793103449,0.7068965517241379
low_margin,retfound_mae,0.4,2,229,71,23,111,24,0.4148471615720524,0.2052401746724891
low_margin,retfound_mae,0.4,3,41,0,20,1,20,0.4878048780487805,0.975609756097561
low_margin,retfound_mae,0.4,4,59,18,7,14,20,0.6440677966101694,0.4576271186440678
low_margin,retfound_mae,0.5,0,95,10,3,71,11,0.22105263157894736,0.14736842105263157
low_margin,retfound_mae,0.5,1,71,2,13,26,30,0.4507042253521127,0.6056338028169014
low_margin,retfound_mae,0.5,2,264,79,25,135,25,0.3939393939393939,0.1893939393939394
low_margin,retfound_mae,0.5,3,47,0,23,2,22,0.46808510638297873,0.9574468085106383
low_margin,retfound_mae,0.5,4,73,24,8,19,22,0.6301369863013698,0.410958904109589
low_margin,both_average,0.1,0,5,5,0,0,0,1.0,0.0
low_margin,both_average,0.1,1,15,3,2,3,7,0.6666666666666666,0.6
low_margin,both_average,0.1,2,62,22,5,28,7,0.46774193548387094,0.1935483870967742
low_margin,both_average,0.1,3,10,2,3,2,3,0.5,0.6
low_margin,both_average,0.1,4,18,1,4,5,8,0.5,0.6666666666666666
low_margin,both_average,0.2,0,14,7,0,6,1,0.5714285714285714,0.07142857142857142
low_margin,both_average,0.2,1,33,4,2,10,17,0.6363636363636364,0.5757575757575758
low_margin,both_average,0.2,2,117,46,9,50,12,0.49572649572649574,0.1794871794871795
low_margin,both_average,0.2,3,18,3,3,4,8,0.6111111111111112,0.6111111111111112
low_margin,both_average,0.2,4,38,2,5,8,23,0.6578947368421053,0.7368421052631579
low_margin,both_average,0.3,0,30,9,0,19,2,0.36666666666666664,0.06666666666666667
low_margin,both_average,0.3,1,47,4,7,13,23,0.574468085106383,0.6382978723404256
low_margin,both_average,0.3,2,175,61,12,85,17,0.44571428571428573,0.1657142857142857
low_margin,both_average,0.3,3,28,3,7,7,11,0.5,0.6428571428571429
low_margin,both_average,0.3,4,50,4,7,12,27,0.62,0.68
low_margin,both_average,0.4,0,53,12,1,35,5,0.32075471698113206,0.11320754716981132
low_margin,both_average,0.4,1,58,6,8,20,24,0.5172413793103449,0.5517241379310345
low_margin,both_average,0.4,2,229,73,13,121,22,0.4148471615720524,0.15283842794759825
low_margin,both_average,0.4,3,41,5,10,11,15,0.4878048780487805,0.6097560975609756
low_margin,both_average,0.4,4,59,6,8,13,32,0.6440677966101694,0.6779661016949152
low_margin,both_average,0.5,0,95,13,2,72,8,0.22105263157894736,0.10526315789473684
low_margin,both_average,0.5,1,71,7,8,31,25,0.4507042253521127,0.4647887323943662
low_margin,both_average,0.5,2,264,80,13,147,24,0.3939393939393939,0.14015151515151514
low_margin,both_average,0.5,3,47,5,12,13,17,0.46808510638297873,0.6170212765957447
low_margin,both_average,0.5,4,73,9,9,18,37,0.6301369863013698,0.6301369863013698
low_margin,dense_average,0.1,0,5,4,0,0,1,1.0,0.2
low_margin,dense_average,0.1,1,15,3,2,3,7,0.6666666666666666,0.6
low_margin,dense_average,0.1,2,62,21,3,30,8,0.46774193548387094,0.1774193548387097
low_margin,dense_average,0.1,3,10,2,3,2,3,0.5,0.6
low_margin,dense_average,0.1,4,18,1,4,5,8,0.5,0.6666666666666666
low_margin,dense_average,0.2,0,14,6,0,6,2,0.5714285714285714,0.14285714285714285
low_margin,dense_average,0.2,1,33,4,2,10,17,0.6363636363636364,0.5757575757575758
low_margin,dense_average,0.2,2,117,43,6,53,15,0.49572649572649574,0.1794871794871795
low_margin,dense_average,0.2,3,18,2,3,4,9,0.6111111111111112,0.6666666666666666
low_margin,dense_average,0.2,4,38,2,5,8,23,0.6578947368421053,0.7368421052631579
low_margin,dense_average,0.3,0,30,8,0,19,3,0.36666666666666664,0.1
low_margin,dense_average,0.3,1,47,4,4,16,23,0.574468085106383,0.574468085106383
low_margin,dense_average,0.3,2,175,53,7,90,25,0.44571428571428573,0.18285714285714286
low_margin,dense_average,0.3,3,28,2,5,9,12,0.5,0.6071428571428571
low_margin,dense_average,0.3,4,50,4,6,13,27,0.62,0.66
low_margin,dense_average,0.4,0,53,11,1,35,6,0.32075471698113206,0.1320754716981132
low_margin,dense_average,0.4,1,58,4,4,24,26,0.5172413793103449,0.5172413793103449
low_margin,dense_average,0.4,2,229,58,7,127,37,0.4148471615720524,0.19213973799126638
low_margin,dense_average,0.4,3,41,2,8,13,18,0.4878048780487805,0.6341463414634146
low_margin,dense_average,0.4,4,59,4,6,15,34,0.6440677966101694,0.6779661016949152
low_margin,dense_average,0.5,0,95,11,1,73,10,0.22105263157894736,0.11578947368421053
low_margin,dense_average,0.5,1,71,4,4,35,28,0.4507042253521127,0.4507042253521127
low_margin,dense_average,0.5,2,264,61,7,153,43,0.3939393939393939,0.1893939393939394
low_margin,dense_average,0.5,3,47,2,8,17,20,0.46808510638297873,0.5957446808510638
low_margin,dense_average,0.5,4,73,5,6,21,41,0.6301369863013698,0.6438356164383562
high_entropy,convnext,0.1,0,4,3,0,1,0,0.75,0.0
high_entropy,convnext,0.1,1,20,6,2,4,8,0.7,0.5
high_entropy,convnext,0.1,2,61,20,9,23,9,0.47540983606557374,0.29508196721311475
high_entropy,convnext,0.1,3,6,0,0,0,6,1.0,1.0
high_entropy,convnext,0.1,4,19,1,3,1,14,0.7894736842105263,0.8947368421052632
high_entropy,convnext,0.2,0,16,7,1,7,1,0.5,0.125
high_entropy,convnext,0.2,1,33,8,4,9,12,0.6060606060606061,0.48484848484848486
high_entropy,convnext,0.2,2,125,39,15,57,14,0.424,0.232
high_entropy,convnext,0.2,3,13,1,2,2,8,0.6923076923076923,0.7692307692307693
high_entropy,convnext,0.2,4,33,1,7,4,21,0.6666666666666666,0.8484848484848485
high_entropy,convnext,0.3,0,28,9,1,15,3,0.42857142857142855,0.14285714285714285
high_entropy,convnext,0.3,1,45,10,4,15,16,0.5777777777777777,0.4444444444444444
high_entropy,convnext,0.3,2,187,59,19,85,24,0.44385026737967914,0.22994652406417113
high_entropy,convnext,0.3,3,25,2,7,6,10,0.48,0.68
high_entropy,convnext,0.3,4,45,2,7,6,30,0.7111111111111111,0.8222222222222222
high_entropy,convnext,0.4,0,46,12,1,28,5,0.3695652173913043,0.13043478260869565
high_entropy,convnext,0.4,1,56,11,4,21,20,0.5535714285714286,0.42857142857142855
high_entropy,convnext,0.4,2,240,65,24,121,30,0.3958333333333333,0.225
high_entropy,convnext,0.4,3,36,4,10,10,12,0.4444444444444444,0.6111111111111112
high_entropy,convnext,0.4,4,62,2,13,9,38,0.6451612903225806,0.8225806451612904
high_entropy,convnext,0.5,0,82,14,2,61,5,0.23170731707317074,0.08536585365853659
high_entropy,convnext,0.5,1,75,11,7,35,22,0.44,0.38666666666666666
high_entropy,convnext,0.5,2,273,70,25,144,34,0.38095238095238093,0.21611721611721613
high_entropy,convnext,0.5,3,49,6,10,17,16,0.4489795918367347,0.5306122448979592
high_entropy,convnext,0.5,4,71,4,15,12,40,0.6197183098591549,0.7746478873239436
high_entropy,retfound_mae,0.1,0,4,1,0,1,2,0.75,0.5
high_entropy,retfound_mae,0.1,1,20,1,3,3,13,0.7,0.8
high_entropy,retfound_mae,0.1,2,61,23,8,24,6,0.47540983606557374,0.22950819672131148
high_entropy,retfound_mae,0.1,3,6,0,0,0,6,1.0,1.0
high_entropy,retfound_mae,0.1,4,19,8,1,3,7,0.7894736842105263,0.42105263157894735
high_entropy,retfound_mae,0.2,0,16,5,0,8,3,0.5,0.1875
high_entropy,retfound_mae,0.2,1,33,1,7,6,19,0.6060606060606061,0.7878787878787878
high_entropy,retfound_mae,0.2,2,125,40,17,55,13,0.424,0.24
high_entropy,retfound_mae,0.2,3,13,0,4,0,9,0.6923076923076923,1.0
high_entropy,retfound_mae,0.2,4,33,11,5,6,11,0.6666666666666666,0.48484848484848486
high_entropy,retfound_mae,0.3,0,28,7,0,16,5,0.42857142857142855,0.17857142857142858
high_entropy,retfound_mae,0.3,1,45,2,10,9,24,0.5777777777777777,0.7555555555555555
high_entropy,retfound_mae,0.3,2,187,62,19,85,21,0.44385026737967914,0.21390374331550802
high_entropy,retfound_mae,0.3,3,25,0,12,1,12,0.48,0.96
high_entropy,retfound_mae,0.3,4,45,15,5,8,17,0.7111111111111111,0.4888888888888889
high_entropy,retfound_mae,0.4,0,46,9,1,28,8,0.3695652173913043,0.1956521739130435
high_entropy,retfound_mae,0.4,1,56,2,11,14,29,0.5535714285714286,0.7142857142857143
high_entropy,retfound_mae,0.4,2,240,71,23,122,24,0.3958333333333333,0.19583333333333333
high_entropy,retfound_mae,0.4,3,36,0,19,1,16,0.4444444444444444,0.9722222222222222
high_entropy,retfound_mae,0.4,4,62,18,7,15,22,0.6451612903225806,0.46774193548387094
high_entropy,retfound_mae,0.5,0,82,10,3,60,9,0.23170731707317074,0.14634146341463414
high_entropy,retfound_mae,0.5,1,75,2,14,28,31,0.44,0.6
high_entropy,retfound_mae,0.5,2,273,78,26,143,26,0.38095238095238093,0.19047619047619047
high_entropy,retfound_mae,0.5,3,49,0,25,2,22,0.4489795918367347,0.9591836734693877
high_entropy,retfound_mae,0.5,4,71,22,8,19,22,0.6197183098591549,0.4225352112676056
high_entropy,both_average,0.1,0,4,2,0,1,1,0.75,0.25
high_entropy,both_average,0.1,1,20,3,3,3,11,0.7,0.7
high_entropy,both_average,0.1,2,61,22,5,27,7,0.47540983606557374,0.19672131147540983
high_entropy,both_average,0.1,3,6,0,0,0,6,1.0,1.0
high_entropy,both_average,0.1,4,19,2,1,3,13,0.7894736842105263,0.7368421052631579
high_entropy,both_average,0.2,0,16,6,0,8,2,0.5,0.125
high_entropy,both_average,0.2,1,33,3,6,7,17,0.6060606060606061,0.696969696969697
high_entropy,both_average,0.2,2,125,42,9,63,11,0.424,0.16
high_entropy,both_average,0.2,3,13,1,2,2,8,0.6923076923076923,0.7692307692307693
high_entropy,both_average,0.2,4,33,3,5,6,19,0.6666666666666666,0.7272727272727273
high_entropy,both_average,0.3,0,28,8,0,16,4,0.42857142857142855,0.14285714285714285
high_entropy,both_average,0.3,1,45,6,6,13,20,0.5777777777777777,0.5777777777777777
high_entropy,both_average,0.3,2,187,65,11,93,18,0.44385026737967914,0.15508021390374332
high_entropy,both_average,0.3,3,25,2,7,6,10,0.48,0.68
high_entropy,both_average,0.3,4,45,4,5,8,28,0.7111111111111111,0.7333333333333333
high_entropy,both_average,0.4,0,46,11,1,28,6,0.3695652173913043,0.15217391304347827
high_entropy,both_average,0.4,1,56,7,7,18,24,0.5535714285714286,0.5535714285714286
high_entropy,both_average,0.4,2,240,73,13,132,22,0.3958333333333333,0.14583333333333334
high_entropy,both_average,0.4,3,36,4,11,9,12,0.4444444444444444,0.6388888888888888
high_entropy,both_average,0.4,4,62,6,8,14,34,0.6451612903225806,0.6774193548387096
high_entropy,both_average,0.5,0,82,13,2,61,6,0.23170731707317074,0.0975609756097561
high_entropy,both_average,0.5,1,75,7,9,33,26,0.44,0.4666666666666667
high_entropy,both_average,0.5,2,273,79,13,156,25,0.38095238095238093,0.1391941391941392
high_entropy,both_average,0.5,3,49,5,12,15,17,0.4489795918367347,0.5918367346938775
high_entropy,both_average,0.5,4,71,9,9,18,35,0.6197183098591549,0.6197183098591549
high_entropy,dense_average,0.1,0,4,1,0,1,2,0.75,0.5
high_entropy,dense_average,0.1,1,20,3,2,4,11,0.7,0.65
high_entropy,dense_average,0.1,2,61,20,2,30,9,0.47540983606557374,0.18032786885245902
high_entropy,dense_average,0.1,3,6,0,0,0,6,1.0,1.0
high_entropy,dense_average,0.1,4,19,2,1,3,13,0.7894736842105263,0.7368421052631579
high_entropy,dense_average,0.2,0,16,5,0,8,3,0.5,0.1875
high_entropy,dense_average,0.2,1,33,3,3,10,17,0.6060606060606061,0.6060606060606061
high_entropy,dense_average,0.2,2,125,37,4,68,16,0.424,0.16
high_entropy,dense_average,0.2,3,13,1,2,2,8,0.6923076923076923,0.7692307692307693
high_entropy,dense_average,0.2,4,33,3,5,6,19,0.6666666666666666,0.7272727272727273
high_entropy,dense_average,0.3,0,28,7,0,16,5,0.42857142857142855,0.17857142857142858
high_entropy,dense_average,0.3,1,45,4,3,16,22,0.5777777777777777,0.5555555555555556
high_entropy,dense_average,0.3,2,187,53,6,98,30,0.44385026737967914,0.1925133689839572
high_entropy,dense_average,0.3,3,25,2,5,8,10,0.48,0.6
high_entropy,dense_average,0.3,4,45,3,5,8,29,0.7111111111111111,0.7555555555555555
high_entropy,dense_average,0.4,0,46,10,0,29,7,0.3695652173913043,0.15217391304347827
high_entropy,dense_average,0.4,1,56,4,3,22,27,0.5535714285714286,0.5357142857142857
high_entropy,dense_average,0.4,2,240,58,7,138,37,0.3958333333333333,0.18333333333333332
high_entropy,dense_average,0.4,3,36,2,8,12,14,0.4444444444444444,0.6111111111111112
high_entropy,dense_average,0.4,4,62,3,6,16,37,0.6451612903225806,0.6935483870967742
high_entropy,dense_average,0.5,0,82,11,1,62,8,0.23170731707317074,0.10975609756097561
high_entropy,dense_average,0.5,1,75,4,4,38,29,0.44,0.44
high_entropy,dense_average,0.5,2,273,61,7,162,43,0.38095238095238093,0.18315018315018314
high_entropy,dense_average,0.5,3,49,2,8,19,20,0.4489795918367347,0.5714285714285714
high_entropy,dense_average,0.5,4,71,5,6,21,39,0.6197183098591549,0.6338028169014085
